# The detected catalog preceding the 2010 Mw7.2 El Mayor-Cucapah mainshock, Yao et al. (2019)
# PEAK AR: peak amplitude ratio; PCF AR: Principal Component Fit amplitude ratio
# EVID   YYYY MM DD HH MM SECD  LONGITUDE LATITUDE DEPTH   ML    ML   TEMPID   MCCV
#							PEAK AR     Best Matched
							       PCF AR             
80309001 2010 03 09 01 42 55.45 -115.3500 32.2888  7.390  1.14  0.43 14600916 0.147
80309002 2010 03 09 01 48 12.80 -115.3500 32.2888  7.390  1.27  0.57 14600916 0.187
80309003 2010 03 09 01 49 37.55 -115.3500 32.2888  7.390  1.48  1.06 14600916 0.298
80309004 2010 03 09 01 53 12.28 -115.3500 32.2888  7.390  1.16  1.16 14600916 0.141
80309005 2010 03 09 02 49 51.48 -115.3500 32.2888  7.390  1.07  0.50 14600916 0.162
80309006 2010 03 09 03 26 05.80 -115.3500 32.2888  7.390  1.99  1.96 14600916 0.788
80309007 2010 03 09 03 29 05.38 -115.3500 32.2888  7.390  1.25  0.86 14600916 0.350
80309008 2010 03 09 04 25 41.72 -115.3500 32.2888  7.390  1.35  1.15 14600916 0.317
80309009 2010 03 09 04 38 10.85 -115.3500 32.2888  7.390  1.12  0.75 14600916 0.202
80309010 2010 03 09 04 39 05.78 -115.3500 32.2888  7.390  1.18  0.81 14600916 0.260
80309011 2010 03 09 05 10 43.38 -115.3500 32.2888  7.390  1.07  0.63 14600916 0.246
80309012 2010 03 09 05 15 01.65 -115.3500 32.2888  7.390  1.35  1.13 14600916 0.373
80309013 2010 03 09 05 15 42.80 -115.3500 32.2888  7.390  1.06  1.06 14600916 0.154
80309014 2010 03 09 05 22 53.95 -115.3500 32.2888  7.390  1.13  1.13 14600916 0.162
80309015 2010 03 09 06 05 13.40 -115.3500 32.2888  7.390  1.06  0.47 14600916 0.183
80309016 2010 03 09 06 21 48.08 -115.3500 32.2888  7.390  1.01  1.01 14600916 0.148
80309017 2010 03 09 06 22 50.90 -115.3500 32.2888  7.390  0.98  0.35 14600916 0.191
80309018 2010 03 09 06 35 44.70 -115.3500 32.2888  7.390  1.39  1.08 14600916 0.384
80309019 2010 03 09 07 28 03.40 -115.3500 32.2888  7.390  1.41  1.09 14600916 0.358
80310020 2010 03 10 00 57 06.53 -115.3500 32.2888  7.390  1.65  1.35 14600916 0.294
80315021 2010 03 15 02 09 17.62 -115.2812 32.2433  7.780  1.27  0.81 14601196 0.270
14600916 2010 03 15 10 08 46.38 -115.3500 32.2888  7.390  2.18  2.18 14600916 1.000
80315023 2010 03 15 10 11 29.38 -115.3500 32.2888  7.390  1.00  0.71 14600916 0.280
80316024 2010 03 16 11 54 50.93 -115.2812 32.2433  7.780  1.35  0.67 14601196 0.203
14601196 2010 03 16 12 10 03.40 -115.2812 32.2433  7.780  2.02  2.02 14601196 1.000
