# output relocated catalog from HYPODD (details can be found in Yao et al.[2019])
# EVID   YYYY MM DD HH MM  SECND  LONGITUDE   LATITUDE  DEPTH  ML  Pobs Sobs DX(m) DY(m) DZ(m)
								    P   S (phases)	
80309003 2010 03 09 01 49 37.540 -115.350464 32.289229  7.454  1.5  24  31   5.3   5.2   6.9
80309006 2010 03 09 03 26 05.790 -115.349398 32.288619  7.359  2.0  38  21   5.7   7.1  10.8
80309007 2010 03 09 03 29 05.370 -115.349495 32.288202  7.462  1.2   6   4  10.2  10.2  13.9
80309008 2010 03 09 04 25 41.710 -115.350138 32.289058  7.343  1.4  18  22   4.5   8.3   8.7
80309009 2010 03 09 04 38 10.880 -115.350456 32.289687  7.425  1.1   3  14  10.3  13.6  16.3
80309010 2010 03 09 04 39 05.800 -115.350049 32.288975  7.494  1.2   7  15   6.3   8.7   8.0
80309011 2010 03 09 05 10 43.370 -115.350700 32.288055  7.234  1.1   9  11   8.1   8.4   8.9
80309012 2010 03 09 05 15 01.650 -115.350260 32.288953  7.391  1.4  23  29   5.4   7.1   9.5
80309014 2010 03 09 05 22 53.960 -115.350586 32.288220  7.387  1.1   4   7   7.8  12.0   8.8
80309015 2010 03 09 06 05 13.410 -115.349585 32.290580  7.345  1.1   3   4   8.8  15.5  13.2
80309017 2010 03 09 06 22 50.920 -115.350472 32.289681  7.452  1.0   2   6   7.6  11.4  13.8
80309018 2010 03 09 06 35 44.720 -115.350203 32.289012  7.451  1.4  30  30   4.7   7.5   7.6
80309019 2010 03 09 07 28 03.410 -115.350366 32.289142  7.429  1.4  28  19   4.8   6.1   7.8
80310020 2010 03 10 00 57 06.520 -115.349048 32.287260  7.613  1.6  12   3  10.9  15.7  19.5
14600916 2010 03 15 10 08 46.360 -115.348975 32.288163  7.241  2.2  38  27   7.2   9.1  10.5
80315023 2010 03 15 10 11 29.400 -115.350415 32.290621  7.326  1.0   1   3   8.1  13.8  14.7
14601196 2010 03 16 12 10 03.400 -115.281169 32.243697  7.688  2.0   5   3  17.7  21.1  21.9
80316026 2010 03 16 20 28 46.220 -115.302376 32.277871 17.351  1.9   2   2  15.2  16.9  20.1
80317028 2010 03 17 10 41 02.570 -115.281226 32.242902  7.869  1.8   5   3  17.7  21.1  21.9
14601532 2010 03 17 17 01 01.060 -115.300374 32.276886 17.916  4.0   3   4  22.7  20.0  21.1
80317036 2010 03 17 20 21 49.520 -115.292684 32.314290  4.151  1.4  25  12  13.4  13.3  18.8
80317037 2010 03 17 20 24 52.320 -115.293099 32.315169  4.161  1.2   4   4  13.2  14.1  16.9
80318040 2010 03 18 04 41 07.370 -115.292236 32.313548  3.919  1.2   3   4  18.5  22.3  22.6
14601748 2010 03 18 05 40 33.080 -115.292098 32.312952  3.940  3.0  28  37  12.6  17.2  11.0
10145042 2010 03 18 05 41 18.320 -115.292871 32.316943  4.222  3.2  31  32  13.7  13.8  14.5
80318044 2010 03 18 06 01 12.050 -115.294702 32.321141  3.928  1.0   7  26  14.7  14.4  14.9
