# List of Master event and its corresponding EGF(s)
# Moment Ratio (MR), fc1, and its bootstrapping uncertainty (stde)
# fc2 is searched with the upper bound of 80HZ
# calfc2 is measured fc2 based on a constant stress drop of 13MPa (k=0.32 and vs=3.3 km/s)
# fc1n(Hz) is based on fixed calfc2 (same fitted range as previous)
# see the reference Yao et al., 2019
#  Master   Mw    EGF     Mw    MR  fc1(Hz) stde  fc2(Hz) fittedrange(Hz) calfc2 fc1n(Hz)
  10169070 3.03 80404714 2.10  21.76 11.00  0.77   63.21     3.0-30.0      27.10   9.17
  10169070 3.03 80404729 2.05  27.17 10.11  0.70   31.99     3.0-30.0      28.71   9.75
  10169070 3.03 80404733 2.14  17.16 13.37  1.19   32.01     3.0-30.0      25.88  12.07
  14601748 3.20 14601812 2.23  22.45 11.59  0.91   37.98     3.0-18.0      23.33   9.95
  14603084 2.10 80321084 1.81   2.64 18.68  1.42   80.00     3.0-28.0      37.84  15.93
  14603084 2.10 80321088 1.77   3.42 17.97  0.80   80.00     3.0-28.0      39.63  15.61
  14603212 2.26 80321096 1.85   4.06 18.27  1.70   80.00     3.0-35.0      36.14  15.57
  14603524 2.94 80322210 2.05  21.54 14.99  1.05   80.00     3.0-35.0      28.71  11.69
  14603524 2.94 80322214 1.78  56.51 10.08  0.66   80.00     3.0-35.0      39.17   9.22
  14603540 3.07 14603364 2.32  12.01 11.78  0.47   80.00     2.0-35.0      21.04   8.58
  14603540 3.07 14603372 2.20  18.70 12.71  0.66   80.00     2.0-35.0      24.15   9.69
  14603540 3.07 80322186 1.93  39.30 11.75  0.89   80.00     2.0-35.0      32.96  10.23
  14605412 2.47 80328386 2.09   2.89 21.51  3.19   45.88     5.0-35.0      27.41  16.24
  14605636 2.32 80331459 1.97   3.28 22.40  2.35   80.00     3.0-35.0      31.48  16.70
  14607108 2.47 80323263 2.07   3.56 20.85  1.24   80.00     2.0-35.0      28.05  14.89
  14607164 3.02 80321120 1.99  47.15  7.58  0.30   80.00     3.0-35.0      30.76   6.74
  14607164 3.02 80321151 1.98  46.06  7.63  0.18   80.00     3.0-35.0      31.12   6.76
  14607164 3.02 80322202 1.93  61.43  8.85  0.45   80.00     3.0-35.0      32.96   7.88
  14607244 2.53 80403537 2.23   2.44 13.74  0.59   80.00     3.0-20.0      23.33  10.52
  14607244 2.53 80403583 2.19   3.07 11.40  0.65   26.73     3.0-35.0      24.43  10.87
  14607284 3.04 80403537 2.23  12.87  8.27  0.26   44.39     3.0-25.0      23.33   7.07 
  14607284 3.04 80403583 2.19  17.49  8.14  0.33   80.00     3.0-30.0      24.43   6.73
  14607284 3.04 80404643 2.24  14.10  8.98  0.60   25.58     3.0-35.0      23.07   8.57
  14607284 3.04 80404714 2.10  21.14  8.65  0.51   34.47     4.0-35.0      27.10   7.91
  14607284 3.04 80404733 2.14  17.39  9.60  1.13   23.26     3.0-30.0      25.88  10.77
  14607412 3.46 10169070 3.03   7.76  4.90  0.13   13.17     2.0-10.0       9.29   4.11
  14607412 3.46 14603524 2.94   9.95  5.02  0.10   80.00     1.0-10.0      10.30   3.92
  14607412 3.46 14607260 2.67  26.59  5.72  0.35   18.06     2.0-10.0      14.06   5.28
  14607412 3.46 14607284 3.04   7.02  6.42  0.18   80.00     2.0-10.0       9.18   4.17
  14607412 3.46 80404714 2.10 136.32  5.37  0.25   80.00     3.0-20.0      27.10   4.83
  14607412 3.46 80404729 2.05 182.25  4.88  0.16   80.00     3.0-30.0      28.71   4.41
  14607412 3.46 80404733 2.14 107.18  5.89  0.18   80.00     2.0-15.0      25.88   5.43
  14607492 2.57 80323293 2.30   2.88 13.49  0.91   80.00     2.0-18.0      21.53  10.25
  14607524 2.89 80323293 2.30   5.96 13.55  1.12   80.00     2.0-18.0      21.53  10.41
  14607556 2.67 14605636 2.32   2.77 13.35  1.17   26.94     3.0-20.0      21.04  11.91
  14607556 2.67 80327363 2.09   5.68 14.25  1.85   50.80     3.0-15.0      27.41  12.07
  14607620 3.49 14603364 2.32  52.28  8.19  0.14   80.00     2.0-30.0      21.04   6.60
  14607620 3.49 14603372 2.20  76.71  9.48  0.17   80.00     2.0-30.0      24.15   7.77
  14607620 3.49 14603540 3.07   4.90  6.01  0.45    9.10     0.6-10.0       8.87   5.91
  14607628 3.09 14607244 2.53   6.22  8.17  0.58   22.29     2.0-30.0      16.52   7.03
  14607628 3.09 14607260 2.67   4.31  8.05  0.81   14.43     2.0-30.0      14.06   7.88
  14607628 3.09 80403583 2.19  17.39  7.63  0.55   80.00     2.0-20.0      24.43   6.74
  80403508 2.47 80403504 2.04   3.94 13.97  1.07   80.00     3.0-20.0      29.04  11.66
  80403573 2.70 80404633 2.30   3.00 19.41  1.76   80.00     3.0-21.0      21.53  12.96 
